"Year","Month","Product","State","Requirement (in Million Tonnes)","Availability (in Million Tonnes)"
"2012-13","April","MOP","Tamil Nadu","21000.00","10108.55"
"2012-13","April","NPK","Tamil Nadu","32400.00","117979.10"
"2012-13","April","TSP","Tamil Nadu","0.00","1750.55"
"2012-13","April","UREA","Tamil Nadu","55000.00","2796.60"
"2012-13","April","DAP","Tripura","280.00","0.00"
"2012-13","April","MAP","Tripura","0.00","0.00"
"2012-13","April","MOP","Tripura","2500.00","0.00"
"2012-13","April","NPK","Tripura","0.00","0.00"
"2012-13","April","TSP","Tripura","0.00","0.00"
"2012-13","April","UREA","Tripura","330.00","0.00"
"2012-13","April","DAP","Uttar Pradesh","60000.00","33609.45"
"2012-13","April","MAP","Uttar Pradesh","0.00","2522.80"
"2012-13","April","MOP","Uttar Pradesh","10000.00","1905.30"
"2012-13","April","NPK","Uttar Pradesh","50000.00","156931.45"
"2012-13","April","TSP","Uttar Pradesh","0.00","15173.50"
"2012-13","April","UREA","Uttar Pradesh","250000.00","107480.85"
"2012-13","April","DAP","Uttaranchal","5000.00","1747.85"
"2012-13","April","MAP","Uttaranchal","0.00","0.00"
"2012-13","April","MOP","Uttaranchal","2000.00","0.00"
"2012-13","April","NPK","Uttaranchal","7500.00","2534.65"
"2012-13","April","TSP","Uttaranchal","0.00","0.00"
"2012-13","April","UREA","Uttaranchal","10000.00","1470.95"
"2012-13","April","DAP","West Bengal","22300.00","18660.39"
"2012-13","April","MAP","West Bengal","0.00","0.00"
"2012-13","April","MOP","West Bengal","13550.00","2652.85"
"2012-13","April","NPK","West Bengal","42200.00","82327.23"
"2012-13","April","TSP","West Bengal","0.00","7377.55"
"2012-13","April","UREA","West Bengal","37400.00","1881.38"
"2012-13","May","DAP","Andaman & Nicobar","80.00","0.00"
"2012-13","May","MAP","Andaman & Nicobar","0.00","0.00"
"2012-13","May","MOP","Andaman & Nicobar","50.00","0.00"
"2012-13","May","NPK","Andaman & Nicobar","85.00","0.00"
"2012-13","May","TSP","Andaman & Nicobar","0.00","0.00"
"2012-13","May","UREA","Andaman & Nicobar","25.00","0.00"
"2012-13","May","DAP","Andhra Pradesh","125.00","52919.05"
"2012-13","May","MAP","Andhra Pradesh","0.00","1586.85"
"2012-13","May","MOP","Andhra Pradesh","25.00","42110.45"
"2012-13","May","NPK","Andhra Pradesh","200.00","241.98"
"2012-13","May","TSP","Andhra Pradesh","0.00","1.90"
"2012-13","May","UREA","Andhra Pradesh","125.00","86503.80"
"2012-13","May","DAP","Arunachal Pradesh","7.00","0.00"
"2012-13","May","MAP","Arunachal Pradesh","0.00","0.00"
"2012-13","May","MOP","Arunachal Pradesh","10.00","0.00"
"2012-13","May","NPK","Arunachal Pradesh","0.00","0.00"
"2012-13","May","TSP","Arunachal Pradesh","0.00","0.00"
"2012-13","May","UREA","Arunachal Pradesh","110.00","0.00"
"2012-13","May","DAP","Assam","3250.00","10185.45"
"2012-13","May","MAP","Assam","0.00","0.00"
"2012-13","May","MOP","Assam","7800.00","3254.40"
"2012-13","May","NPK","Assam","975.00","1935.35"
"2012-13","May","TSP","Assam","0.00","0.00"
"2012-13","May","UREA","Assam","18850.00","0.00"
"2012-13","May","DAP","Bihar","40000.00","29314.20"
"2012-13","May","MAP","Bihar","0.00","4320.80"
"2012-13","May","MOP","Bihar","5000.00","2130.55"
"2012-13","May","NPK","Bihar","20000.00","45532.25"
"2012-13","May","TSP","Bihar","0.00","7550.15"
"2012-13","May","UREA","Bihar","75000.00","14059.55"
"2012-13","May","DAP","Chandigarh","0.00","0.00"
"2012-13","May","MAP","Chandigarh","0.00","0.00"
"2012-13","May","MOP","Chandigarh","0.00","0.00"
"2012-13","May","NPK","Chandigarh","0.00","0.00"
"2012-13","May","TSP","Chandigarh","0.00","0.00"
"2012-13","May","UREA","Chandigarh","0.00","0.00"
"2012-13","May","DAP","Chattishgarh","12000.00","20357.50"
"2012-13","May","MAP","Chattishgarh","0.00","0.00"
"2012-13","May","MOP","Chattishgarh","5000.00","3769.70"
"2012-13","May","NPK","Chattishgarh","6000.00","26680.10"
"2012-13","May","TSP","Chattishgarh","0.00","4015.55"
"2012-13","May","UREA","Chattishgarh","30000.00","9631.80"
"2012-13","May","DAP","Dadra & Nagar Haveli","150.00","0.00"
"2012-13","May","MAP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","May","MOP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","May","NPK","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","May","TSP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","May","UREA","Dadra & Nagar Haveli","150.00","3.40"
"2012-13","May","DAP","Daman & Diu","20.00","0.00"
"2012-13","May","MAP","Daman & Diu","0.00","0.00"
"2012-13","May","MOP","Daman & Diu","5.00","0.00"
"2012-13","May","NPK","Daman & Diu","0.00","0.00"
"2012-13","May","TSP","Daman & Diu","0.00","0.00"
"2012-13","May","UREA","Daman & Diu","30.00","0.00"
"2012-13","May","DAP","Delhi","200.00","0.00"
"2012-13","May","MAP","Delhi","0.00","0.00"
"2012-13","May","MOP","Delhi","0.00","0.00"
"2012-13","May","NPK","Delhi","100.00","0.00"
"2012-13","May","TSP","Delhi","0.00","0.00"
"2012-13","May","UREA","Delhi","400.00","0.00"
"2012-13","May","DAP","Goa","150.00","0.00"
"2012-13","May","MAP","Goa","0.00","0.00"
"2012-13","May","MOP","Goa","80.00","0.00"
"2012-13","May","NPK","Goa","570.00","52.25"
"2012-13","May","TSP","Goa","0.00","0.00"
"2012-13","May","UREA","Goa","400.00","113.50"
"2012-13","May","DAP","Gujarat","110000.00","27624.95"
"2012-13","May","MAP","Gujarat","0.00","0.00"
"2012-13","May","MOP","Gujarat","14000.00","2752.05"
"2012-13","May","NPK","Gujarat","60000.00","46124.08"
"2012-13","May","TSP","Gujarat","0.00","6287.55"
"2012-13","May","UREA","Gujarat","170000.00","36186.79"
"2012-13","May","DAP","Harayana","40000.00","10175.75"
"2012-13","May","MAP","Harayana","0.00","3411.55"
"2012-13","May","MOP","Harayana","5000.00","1713.10"
"2012-13","May","NPK","Harayana","10000.00","7440.15"
"2012-13","May","TSP","Harayana","0.00","0.00"
"2012-13","May","UREA","Harayana","110000.00","43226.10"
"2012-13","May","DAP","Himachal Pradesh","0.00","0.00"
"2012-13","May","MAP","Himachal Pradesh","0.00","0.00"
"2012-13","May","MOP","Himachal Pradesh","50.00","0.00"
"2012-13","May","NPK","Himachal Pradesh","2500.00","70.70"
"2012-13","May","TSP","Himachal Pradesh","0.00","0.00"
"2012-13","May","UREA","Himachal Pradesh","7500.00","1160.55"
"2012-13","May","DAP","Jammu & Kashmir","10000.00","4789.94"
"2012-13","May","MAP","Jammu & Kashmir","0.00","0.00"
"2012-13","May","MOP","Jammu & Kashmir","2000.00","1888.45"
"2012-13","May","NPK","Jammu & Kashmir","0.00","0.00"
"2012-13","May","TSP","Jammu & Kashmir","0.00","0.00"
"2012-13","May","UREA","Jammu & Kashmir","12000.00","1014.05"
"2012-13","May","DAP","Jharkhand","10000.00","1356.75"
"2012-13","May","MAP","Jharkhand","0.00","0.00"
"2012-13","May","MOP","Jharkhand","2500.00","0.00"
"2012-13","May","NPK","Jharkhand","5600.00","4861.95"
"2012-13","May","TSP","Jharkhand","0.00","0.00"
"2012-13","May","UREA","Jharkhand","11000.00","5480.35"
"2012-13","May","DAP","Karnataka","88000.00","29678.97"
"2012-13","May","MAP","Karnataka","0.00","3944.85"
"2012-13","May","MOP","Karnataka","25000.00","17823.20"
"2012-13","May","NPK","Karnataka","84200.00","95896.99"
"2012-13","May","TSP","Karnataka","0.00","12023.40"
"2012-13","May","UREA","Karnataka","100000.00","21466.49"
"2012-13","May","DAP","Kerala","4000.00","1039.60"
"2012-13","May","MAP","Kerala","0.00","0.00"
"2012-13","May","MOP","Kerala","11000.00","10777.95"
"2012-13","May","NPK","Kerala","15000.00","25413.31"
"2012-13","May","TSP","Kerala","0.00","3626.25"
"2012-13","May","UREA","Kerala","12000.00","4.50"
"2012-13","May","DAP","Lakshadeeep","0.00","0.00"
"2012-13","May","MAP","Lakshadeeep","0.00","0.00"
"2012-13","May","MOP","Lakshadeeep","0.00","0.00"
"2012-13","May","NPK","Lakshadeeep","0.00","0.00"
"2012-13","May","TSP","Lakshadeeep","0.00","0.00"
"2012-13","May","UREA","Lakshadeeep","0.00","0.00"
"2012-13","May","DAP","Madhya Pradesh","78488.00","37446.65"
"2012-13","May","MAP","Madhya Pradesh","0.00","6418.15"
"2012-13","May","MOP","Madhya Pradesh","17730.00","17733.60"
"2012-13","May","NPK","Madhya Pradesh","26719.00","68436.10"
"2012-13","May","TSP","Madhya Pradesh","0.00","8380.00"
"2012-13","May","UREA","Madhya Pradesh","46875.00","49518.75"
"2012-13","May","DAP","Maharastra","155000.00","45059.19"
"2012-13","May","MAP","Maharastra","0.00","4041.80"
"2012-13","May","MOP","Maharastra","50000.00","22928.35"
"2012-13","May","NPK","Maharastra","149000.00","121736.63"
"2012-13","May","TSP","Maharastra","0.00","16.20"
"2012-13","May","UREA","Maharastra","255000.00","64594.93"
"2012-13","May","DAP","Manipur","450.00","0.00"
"2012-13","May","MAP","Manipur","0.00","0.00"
"2012-13","May","MOP","Manipur","300.00","0.00"
"2012-13","May","NPK","Manipur","0.00","0.00"
"2012-13","May","TSP","Manipur","0.00","0.00"
"2012-13","May","UREA","Manipur","6400.00","0.00"
"2012-13","May","DAP","Megalaya","200.00","300.00"
"2012-13","May","MAP","Megalaya","0.00","0.00"
"2012-13","May","MOP","Megalaya","30.00","0.00"
"2012-13","May","NPK","Megalaya","0.00","0.00"
"2012-13","May","TSP","Megalaya","0.00","0.00"
"2012-13","May","UREA","Megalaya","300.00","0.00"
"2012-13","May","DAP","Mizoram","850.00","0.00"
"2012-13","May","MAP","Mizoram","0.00","0.00"
"2012-13","May","MOP","Mizoram","700.00","0.00"
"2012-13","May","NPK","Mizoram","0.00","0.00"
"2012-13","May","TSP","Mizoram","0.00","0.00"
"2012-13","May","UREA","Mizoram","1700.00","0.00"
"2012-13","May","DAP","Nagaland","105.00","0.00"
"2012-13","May","MAP","Nagaland","0.00","0.00"
"2012-13","May","MOP","Nagaland","40.00","0.00"
"2012-13","May","NPK","Nagaland","35.00","0.00"
"2012-13","May","TSP","Nagaland","0.00","0.00"
"2012-13","May","UREA","Nagaland","182.00","0.00"
"2012-13","May","DAP","Odisha","11940.00","23383.65"
"2012-13","May","MAP","Odisha","0.00","0.00"
"2012-13","May","MOP","Odisha","11070.00","9535.70"
"2012-13","May","NPK","Odisha","20045.00","38445.30"
"2012-13","May","TSP","Odisha","0.00","0.00"
"2012-13","May","UREA","Odisha","22630.00","24890.35"
"2012-13","May","DAP","Pondicherry","700.00","0.00"
"2012-13","May","MAP","Pondicherry","0.00","0.00"
"2012-13","May","MOP","Pondicherry","800.00","0.00"
"2012-13","May","NPK","Pondicherry","1610.00","839.80"
"2012-13","May","TSP","Pondicherry","0.00","0.00"
"2012-13","May","UREA","Pondicherry","1600.00","0.00"
"2012-13","May","DAP","Punjab","50000.00","47014.15"
"2012-13","May","MAP","Punjab","0.00","6575.30"
"2012-13","May","MOP","Punjab","8000.00","8992.65"
"2012-13","May","NPK","Punjab","8000.00","11851.10"
"2012-13","May","TSP","Punjab","0.00","3355.30"
"2012-13","May","UREA","Punjab","400000.00","22789.05"
"2012-13","May","DAP","Rajasthan","45000.00","21363.03"
"2012-13","May","MAP","Rajasthan","0.00","0.00"
"2012-13","May","MOP","Rajasthan","5000.00","1391.60"
"2012-13","May","NPK","Rajasthan","14700.00","13953.60"
"2012-13","May","TSP","Rajasthan","0.00","3526.25"
"2012-13","May","UREA","Rajasthan","80000.00","69238.21"
"2012-13","May","DAP","Sikkim","0.00","0.00"
"2012-13","May","MAP","Sikkim","0.00","0.00"
"2012-13","May","MOP","Sikkim","0.00","0.00"
"2012-13","May","NPK","Sikkim","0.00","0.00"
"2012-13","May","TSP","Sikkim","0.00","0.00"
"2012-13","May","UREA","Sikkim","0.00","0.00"
"2012-13","May","DAP","Tamil Nadu","26000.00","4340.00"
"2012-13","May","MAP","Tamil Nadu","0.00","0.00"
"2012-13","May","MOP","Tamil Nadu","26000.00","9287.40"
"2012-13","May","NPK","Tamil Nadu","48400.00","127131.35"
"2012-13","May","TSP","Tamil Nadu","0.00","0.00"
"2012-13","May","UREA","Tamil Nadu","60000.00","1691.15"
"2012-13","May","DAP","Tripura","476.00","0.00"
"2012-13","May","MAP","Tripura","0.00","0.00"
"2012-13","May","MOP","Tripura","2500.00","0.00"
"2012-13","May","NPK","Tripura","0.00","0.00"
"2012-13","May","TSP","Tripura","0.00","0.00"
"2012-13","May","UREA","Tripura","9700.00","2711.50"
"2012-13","May","DAP","Uttar Pradesh","80000.00","104487.85"
"2012-13","May","MAP","Uttar Pradesh","0.00","2522.80"
"2012-13","May","MOP","Uttar Pradesh","10000.00","5698.75"
"2012-13","May","NPK","Uttar Pradesh","65000.00","169142.85"
"2012-13","May","TSP","Uttar Pradesh","0.00","16125.25"
"2012-13","May","UREA","Uttar Pradesh","400000.00","161598.20"
"2012-13","May","DAP","Uttaranchal","5000.00","4994.10"
"2012-13","May","MAP","Uttaranchal","0.00","0.00"
"2012-13","May","MOP","Uttaranchal","2000.00","0.00"
"2012-13","May","NPK","Uttaranchal","7500.00","6138.90"
"2012-13","May","TSP","Uttaranchal","0.00","0.00"
"2012-13","May","UREA","Uttaranchal","30000.00","2389.65"
"2012-13","May","DAP","West Bengal","26800.00","29316.99"
"2012-13","May","MAP","West Bengal","0.00","0.00"
"2012-13","May","MOP","West Bengal","20200.00","5631.80"
"2012-13","May","NPK","West Bengal","54250.00","87277.53"
"2012-13","May","TSP","West Bengal","0.00","7377.55"
"2012-13","May","UREA","West Bengal","63400.00","30443.88"
"2012-13","June","DAP","Andaman & Nicobar","100.00","0.00"
"2012-13","June","MAP","Andaman & Nicobar","0.00","0.00"
"2012-13","June","MOP","Andaman & Nicobar","60.00","0.00"
"2012-13","June","NPK","Andaman & Nicobar","40.00","0.00"
"2012-13","June","TSP","Andaman & Nicobar","0.00","0.00"
"2012-13","June","UREA","Andaman & Nicobar","85.00","0.00"
"2012-13","June","DAP","Andhra Pradesh","130000.00","33457.90"
"2012-13","June","MAP","Andhra Pradesh","0.00","848.85"
"2012-13","June","MOP","Andhra Pradesh","50000.00","27382.00"
"2012-13","June","NPK","Andhra Pradesh","200000.00","173793.53"
"2012-13","June","TSP","Andhra Pradesh","0.00","1.90"
"2012-13","June","UREA","Andhra Pradesh","250000.00","83.80"
"2012-13","June","DAP","Arunachal Pradesh","7.00","0.00"
"2012-13","June","MAP","Arunachal Pradesh","0.00","0.00"
"2012-13","June","MOP","Arunachal Pradesh","8.00","0.00"
"2012-13","June","NPK","Arunachal Pradesh","0.00","0.00"
"2012-13","June","TSP","Arunachal Pradesh","0.00","0.00"
"2012-13","June","UREA","Arunachal Pradesh","95.00","0.00"
"2012-13","June","DAP","Assam","5250.00","8631.30"
"2012-13","June","MAP","Assam","0.00","0.00"
"2012-13","June","MOP","Assam","12600.00","246.95"
"2012-13","June","NPK","Assam","1575.00","1359.35"
"2012-13","June","TSP","Assam","0.00","0.00"
"2012-13","June","UREA","Assam","30450.00","0.00"
"2012-13","June","DAP","Bihar","60.00","24458.70"
"2012-13","June","MAP","Bihar","0.00","4273.15"
"2012-13","June","MOP","Bihar","20000.00","1979.30"
"2012-13","June","NPK","Bihar","50000.00","32608.00"
"2012-13","June","TSP","Bihar","0.00","7673.75"
"2012-13","June","UREA","Bihar","190000.00","17665.85"
"2012-13","June","DAP","Chandigarh","0.00","0.00"
"2012-13","June","MAP","Chandigarh","0.00","0.00"
"2012-13","June","MOP","Chandigarh","0.00","0.00"
"2012-13","June","NPK","Chandigarh","0.00","0.00"
"2012-13","June","TSP","Chandigarh","0.00","0.00"
"2012-13","June","UREA","Chandigarh","0.00","0.00"
"2012-13","June","DAP","Chattishgarh","55000.00","4860.10"
"2012-13","June","MAP","Chattishgarh","0.00","0.00"
"2012-13","June","MOP","Chattishgarh","17000.00","702.00"
"2012-13","June","NPK","Chattishgarh","38000.00","16165.25"
"2012-13","June","TSP","Chattishgarh","0.00","3858.25"
"2012-13","June","UREA","Chattishgarh","100000.00","18752.40"
"2012-13","June","DAP","Dadra & Nagar Haveli","450.00","658.00"
"2012-13","June","MAP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","June","MOP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","June","NPK","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","June","TSP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","June","UREA","Dadra & Nagar Haveli","450.00","9.70"
"2012-13","June","DAP","Daman & Diu","20.00","0.00"
"2012-13","June","MAP","Daman & Diu","0.00","0.00"
"2012-13","June","MOP","Daman & Diu","5.00","0.00"
"2012-13","June","NPK","Daman & Diu","5.00","0.00"
"2012-13","June","TSP","Daman & Diu","0.00","0.00"
"2012-13","June","UREA","Daman & Diu","70.00","0.00"
"2012-13","June","DAP","Delhi","400.00","0.00"
"2012-13","June","MAP","Delhi","0.00","0.00"
"2012-13","June","MOP","Delhi","150.00","0.00"
