Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2013-14,April,MOP,Chandigarh,0.000,0.000
2013-14,April,NPK,Chandigarh,0.000,0.000
2013-14,April,SSP,Chandigarh,0.000,0.000
2013-14,April,TSP,Chandigarh,0.000,0.000
2013-14,April,UREA,Chandigarh,0.000,0.000
2013-14,April,DAP,Chattishgarh,"15,000.000","13,402.950"
2013-14,April,MAP,Chattishgarh,0.000,0.000
2013-14,April,MOP,Chattishgarh,"5,000.000","1,951.900"
2013-14,April,NPK,Chattishgarh,"8,000.000","12,717.100"
2013-14,April,SSP,Chattishgarh,"11,000.000","5,790.305"
2013-14,April,TSP,Chattishgarh,0.000,"3,858.250"
2013-14,April,UREA,Chattishgarh,"48,000.000","19,469.850"
2013-14,April,DAP,Dadra & Nagar Haveli,50.000,0.300
2013-14,April,MAP,Dadra & Nagar Haveli,0.000,0.000
2013-14,April,MOP,Dadra & Nagar Haveli,7.000,0.000
2013-14,April,NPK,Dadra & Nagar Haveli,11.000,1.450
2013-14,April,SSP,Dadra & Nagar Haveli,0.000,0.000
2013-14,April,TSP,Dadra & Nagar Haveli,0.000,0.000
2013-14,April,UREA,Dadra & Nagar Haveli,30.000,10.500
2013-14,April,DAP,Daman & Diu,10.000,0.000
2013-14,April,MAP,Daman & Diu,0.000,0.000
2013-14,April,MOP,Daman & Diu,0.000,0.000
2013-14,April,NPK,Daman & Diu,0.000,0.000
2013-14,April,SSP,Daman & Diu,0.000,0.000
2013-14,April,TSP,Daman & Diu,0.000,0.000
2013-14,April,UREA,Daman & Diu,40.000,0.000
2013-14,April,DAP,Delhi,0.000,0.000
2013-14,April,MAP,Delhi,0.000,0.000
2013-14,April,MOP,Delhi,0.000,0.000
2013-14,April,NPK,Delhi,0.000,0.000
2013-14,April,SSP,Delhi,0.000,0.000
2013-14,April,TSP,Delhi,0.000,0.000
2013-14,April,UREA,Delhi,0.000,0.000
2013-14,April,DAP,Goa,100.000,0.000
2013-14,April,MAP,Goa,0.000,0.000
2013-14,April,MOP,Goa,20.000,0.000
2013-14,April,NPK,Goa,500.000,0.000
2013-14,April,SSP,Goa,0.000,0.000
2013-14,April,TSP,Goa,0.000,0.000
2013-14,April,UREA,Goa,200.000,0.000
2013-14,April,DAP,Gujarat,"50,000.000","19,051.621"
2013-14,April,MAP,Gujarat,0.000,0.000
2013-14,April,MOP,Gujarat,"7,000.000","3,634.350"
2013-14,April,NPK,Gujarat,"31,500.000","10,804.225"
2013-14,April,SSP,Gujarat,"12,000.000","3,181.000"
2013-14,April,TSP,Gujarat,0.000,"6,313.850"
2013-14,April,UREA,Gujarat,"1,15,000.000","11,080.205"
2013-14,April,DAP,Harayana,"10,000.000","36,379.450"
2013-14,April,MAP,Harayana,0.000,0.000
2013-14,April,MOP,Harayana,"5,000.000",0.000
2013-14,April,NPK,Harayana,"5,000.000",21.000
2013-14,April,SSP,Harayana,"5,000.000",146.800
2013-14,April,TSP,Harayana,0.000,0.000
2013-14,April,UREA,Harayana,"50,000.000","66,345.850"
2013-14,April,DAP,Himachal Pradesh,0.000,0.000
2013-14,April,MAP,Himachal Pradesh,0.000,0.000
2013-14,April,MOP,Himachal Pradesh,100.000,0.000
2013-14,April,NPK,Himachal Pradesh,0.000,12.400
2013-14,April,SSP,Himachal Pradesh,80.000,0.000
2013-14,April,TSP,Himachal Pradesh,0.000,0.000
2013-14,April,UREA,Himachal Pradesh,"2,500.000",1.550
2013-14,April,DAP,Jammu & Kashmir,"5,000.000","5,067.650"
2013-14,April,MAP,Jammu & Kashmir,0.000,0.000
2013-14,April,MOP,Jammu & Kashmir,"1,200.000","1,316.300"
2013-14,April,NPK,Jammu & Kashmir,0.000,0.000
2013-14,April,SSP,Jammu & Kashmir,0.000,0.000
2013-14,April,TSP,Jammu & Kashmir,0.000,0.000
2013-14,April,UREA,Jammu & Kashmir,"15,000.000","6,066.300"
2013-14,April,DAP,Jharkhand,"7,500.000",104.950
2013-14,April,MAP,Jharkhand,0.000,0.000
2013-14,April,MOP,Jharkhand,"2,500.000",0.000
2013-14,April,NPK,Jharkhand,"2,500.000",3.700
2013-14,April,SSP,Jharkhand,"5,000.000",35.450
2013-14,April,TSP,Jharkhand,0.000,0.000
2013-14,April,UREA,Jharkhand,"25,000.000",52.400
2013-14,April,DAP,Karnataka,"70,000.000","3,295.450"
2013-14,April,MAP,Karnataka,0.000,0.000
2013-14,April,MOP,Karnataka,"25,000.000","8,711.800"
2013-14,April,NPK,Karnataka,"60,000.000","27,710.374"
2013-14,April,SSP,Karnataka,"1,300.000","1,239.300"
2013-14,April,TSP,Karnataka,0.000,"11,905.400"
2013-14,April,UREA,Karnataka,"60,000.000","18,075.220"
2013-14,April,DAP,Kerala,"2,000.000","1,880.400"
2013-14,April,MAP,Kerala,0.000,0.000
2013-14,April,MOP,Kerala,"10,000.000","1,166.193"
2013-14,April,NPK,Kerala,"14,000.000","8,220.388"
2013-14,April,SSP,Kerala,0.000,38.000
2013-14,April,TSP,Kerala,0.000,"3,156.750"
2013-14,April,UREA,Kerala,"12,000.000",0.000
2013-14,April,DAP,Lakshadweep,0.000,0.000
2013-14,April,MAP,Lakshadweep,0.000,0.000
2013-14,April,MOP,Lakshadweep,0.000,0.000
2013-14,April,NPK,Lakshadweep,0.000,0.000
2013-14,April,SSP,Lakshadweep,0.000,0.000
2013-14,April,TSP,Lakshadweep,0.000,0.000
2013-14,April,UREA,Lakshadweep,0.000,0.000
2013-14,April,DAP,Madhya Pradesh,"19,800.000","57,769.050"
2013-14,April,MAP,Madhya Pradesh,0.000,0.000
2013-14,April,MOP,Madhya Pradesh,"5,400.000",761.450
2013-14,April,NPK,Madhya Pradesh,"15,400.000","18,072.700"
2013-14,April,SSP,Madhya Pradesh,"6,450.000","92,348.063"
2013-14,April,TSP,Madhya Pradesh,0.000,"8,443.850"
2013-14,April,UREA,Madhya Pradesh,"52,500.000","56,620.750"
2013-14,April,DAP,Maharastra,"1,46,100.000","37,915.965"
2013-14,April,MAP,Maharastra,0.000,0.000
2013-14,April,MOP,Maharastra,"46,300.000","5,122.450"
2013-14,April,NPK,Maharastra,"1,46,100.000","47,448.310"
2013-14,April,SSP,Maharastra,"77,000.000","18,022.161"
2013-14,April,TSP,Maharastra,0.000,0.000
2013-14,April,UREA,Maharastra,"2,38,300.000","48,106.525"
2013-14,April,DAP,Manipur,300.000,0.000
2013-14,April,MAP,Manipur,0.000,0.000
2013-14,April,MOP,Manipur,200.000,0.000
2013-14,April,NPK,Manipur,0.000,0.000
2013-14,April,SSP,Manipur,100.000,0.000
2013-14,April,TSP,Manipur,0.000,0.000
2013-14,April,UREA,Manipur,"3,000.000",0.000
2013-14,April,DAP,Megalaya,250.000,0.000
2013-14,April,MAP,Megalaya,0.000,0.000
2013-14,April,MOP,Megalaya,30.000,0.000
2013-14,April,NPK,Megalaya,0.000,0.000
2013-14,April,SSP,Megalaya,500.000,0.000
2013-14,April,TSP,Megalaya,0.000,0.000
2013-14,April,UREA,Megalaya,300.000,0.000
2013-14,April,DAP,Mizoram,700.000,0.000
2013-14,April,MAP,Mizoram,0.000,0.000
2013-14,April,MOP,Mizoram,550.000,0.000
2013-14,April,NPK,Mizoram,0.000,0.000
2013-14,April,SSP,Mizoram,720.000,0.000
2013-14,April,TSP,Mizoram,0.000,0.000
2013-14,April,UREA,Mizoram,"1,350.000",0.000
2013-14,April,DAP,Nagaland,100.000,0.000
2013-14,April,MAP,Nagaland,0.000,0.000
2013-14,April,MOP,Nagaland,30.000,0.000
2013-14,April,NPK,Nagaland,0.000,0.000
2013-14,April,SSP,Nagaland,40.000,0.000
2013-14,April,TSP,Nagaland,0.000,0.000
2013-14,April,UREA,Nagaland,150.000,0.000
2013-14,April,DAP,Odisha,"6,000.000","5,503.850"
2013-14,April,MAP,Odisha,0.000,0.000
2013-14,April,MOP,Odisha,"3,000.000",58.700
2013-14,April,NPK,Odisha,"17,500.000","7,424.350"
2013-14,April,SSP,Odisha,"2,000.000",5.250
2013-14,April,TSP,Odisha,0.000,0.000
2013-14,April,UREA,Odisha,"10,000.000","15,207.700"
2013-14,April,DAP,Pondicherry,150.000,0.000
2013-14,April,MAP,Pondicherry,0.000,0.000
2013-14,April,MOP,Pondicherry,250.000,0.000
2013-14,April,NPK,Pondicherry,900.000,160.000
2013-14,April,SSP,Pondicherry,50.000,0.000
2013-14,April,TSP,Pondicherry,0.000,0.000
2013-14,April,UREA,Pondicherry,"1,350.000",0.000
2013-14,April,DAP,Punjab,"30,000.000","35,632.300"
2013-14,April,MAP,Punjab,0.000,0.000
2013-14,April,MOP,Punjab,"5,000.000",4.150
2013-14,April,NPK,Punjab,"10,000.000","1,671.300"
2013-14,April,SSP,Punjab,"5,000.000",506.950
2013-14,April,TSP,Punjab,0.000,"3,355.300"
2013-14,April,UREA,Punjab,"1,20,000.000","61,935.400"
2013-14,April,DAP,Rajasthan,"8,000.000","34,093.550"
2013-14,April,MAP,Rajasthan,0.000,0.000
2013-14,April,MOP,Rajasthan,"2,100.000",0.000
2013-14,April,NPK,Rajasthan,"11,900.000",438.650
2013-14,April,SSP,Rajasthan,"25,000.000","8,720.100"
2013-14,April,TSP,Rajasthan,0.000,"3,526.250"
2013-14,April,UREA,Rajasthan,"60,050.000","44,842.500"
2013-14,April,DAP,Sikkim,0.000,0.000
2013-14,April,MAP,Sikkim,0.000,0.000
2013-14,April,MOP,Sikkim,0.000,0.000
2013-14,April,NPK,Sikkim,0.000,0.000
2013-14,April,SSP,Sikkim,0.000,0.000
2013-14,April,TSP,Sikkim,0.000,0.000
2013-14,April,UREA,Sikkim,0.000,0.000
2013-14,April,DAP,Tamil Nadu,"19,000.000","10,586.400"
2013-14,April,MAP,Tamil Nadu,0.000,0.000
2013-14,April,MOP,Tamil Nadu,"18,000.000",863.149
2013-14,April,NPK,Tamil Nadu,"34,230.000","18,651.800"
2013-14,April,SSP,Tamil Nadu,"6,000.000","3,489.050"
2013-14,April,TSP,Tamil Nadu,0.000,0.000
2013-14,April,UREA,Tamil Nadu,"50,000.000","7,831.050"
2013-14,April,DAP,Tripura,450.000,0.000
2013-14,April,MAP,Tripura,0.000,0.000
2013-14,April,MOP,Tripura,0.000,0.000
2013-14,April,NPK,Tripura,0.000,0.000
2013-14,April,SSP,Tripura,"2,600.000",23.250
2013-14,April,TSP,Tripura,0.000,0.000
2013-14,April,UREA,Tripura,"2,600.000","2,154.500"
2013-14,April,DAP,Uttar Pradesh,"60,000.000","65,524.700"
2013-14,April,MAP,Uttar Pradesh,0.000,0.000
2013-14,April,MOP,Uttar Pradesh,"10,000.000","15,994.050"
2013-14,April,NPK,Uttar Pradesh,"50,000.000","11,045.250"
2013-14,April,SSP,Uttar Pradesh,"5,000.000","1,696.204"
2013-14,April,TSP,Uttar Pradesh,0.000,"16,125.250"
2013-14,April,UREA,Uttar Pradesh,"2,50,000.000","75,436.300"
2013-14,April,DAP,Uttaranchal,"4,000.000",313.200
2013-14,April,MAP,Uttaranchal,0.000,0.000
2013-14,April,MOP,Uttaranchal,500.000,0.000
2013-14,April,NPK,Uttaranchal,"7,500.000","1,272.850"
2013-14,April,SSP,Uttaranchal,"1,500.000",0.000
2013-14,April,TSP,Uttaranchal,0.000,0.000
2013-14,April,UREA,Uttaranchal,"10,000.000","5,861.000"
2013-14,April,DAP,West Bengal,"19,000.000","1,119.010"
2013-14,April,MAP,West Bengal,0.000,0.000
2013-14,April,MOP,West Bengal,"10,000.000","2,251.650"
2013-14,April,NPK,West Bengal,"46,250.000","11,405.255"
2013-14,April,SSP,West Bengal,"17,000.000",752.900
2013-14,April,TSP,West Bengal,0.000,"7,377.550"
2013-14,April,UREA,West Bengal,"55,000.000","14,327.585"
2013-14,May,DAP,Andaman & Nicobar,0.000,0.000
2013-14,May,MAP,Andaman & Nicobar,0.000,0.000
2013-14,May,MOP,Andaman & Nicobar,0.000,0.000
2013-14,May,NPK,Andaman & Nicobar,0.000,0.000
2013-14,May,SSP,Andaman & Nicobar,0.000,0.000
2013-14,May,TSP,Andaman & Nicobar,0.000,0.000
2013-14,May,UREA,Andaman & Nicobar,0.000,0.000
2013-14,May,DAP,Andhra Pradesh,"1,00,000.000","39,478.850"
2013-14,May,MAP,Andhra Pradesh,0.000,0.000
2013-14,May,MOP,Andhra Pradesh,"30,000.000","23,370.340"
2013-14,May,NPK,Andhra Pradesh,"1,68,000.000","68,395.408"
2013-14,May,SSP,Andhra Pradesh,"20,000.000","8,706.196"
2013-14,May,TSP,Andhra Pradesh,0.000,0.000
2013-14,May,UREA,Andhra Pradesh,"1,50,000.000","1,12,499.850"
2013-14,May,DAP,Arunachal Pradesh,60.000,0.000
2013-14,May,MAP,Arunachal Pradesh,0.000,0.000
2013-14,May,MOP,Arunachal Pradesh,20.000,0.000
2013-14,May,NPK,Arunachal Pradesh,0.000,0.000
2013-14,May,SSP,Arunachal Pradesh,40.000,0.000
2013-14,May,TSP,Arunachal Pradesh,0.000,0.000
2013-14,May,UREA,Arunachal Pradesh,50.000,0.000
2013-14,May,DAP,Assam,"3,250.000","5,013.950"
2013-14,May,MAP,Assam,0.000,0.000
2013-14,May,MOP,Assam,"7,800.000","6,362.400"
2013-14,May,NPK,Assam,980.000,277.300
2013-14,May,SSP,Assam,"10,400.000",58.700
2013-14,May,TSP,Assam,0.000,0.000
2013-14,May,UREA,Assam,"18,850.000","5,580.500"
2013-14,May,DAP,Bihar,"30,000.000","13,595.150"
2013-14,May,MAP,Bihar,0.000,0.000
2013-14,May,MOP,Bihar,"10,000.000","2,267.350"
2013-14,May,NPK,Bihar,"30,000.000","3,837.450"
2013-14,May,SSP,Bihar,"12,000.000",93.650
2013-14,May,TSP,Bihar,0.000,"7,673.750"
2013-14,May,UREA,Bihar,"80,000.000","35,553.550"
2013-14,May,DAP,Chandigarh,0.000,0.000
2013-14,May,MAP,Chandigarh,0.000,0.000
2013-14,May,MOP,Chandigarh,0.000,0.000
2013-14,May,NPK,Chandigarh,0.000,0.000
2013-14,May,SSP,Chandigarh,0.000,0.000
2013-14,May,TSP,Chandigarh,0.000,0.000
2013-14,May,UREA,Chandigarh,0.000,0.000
2013-14,May,DAP,Chattishgarh,"18,000.000","25,737.800"
2013-14,May,MAP,Chattishgarh,0.000,0.000
2013-14,May,MOP,Chattishgarh,"5,000.000","6,309.850"
2013-14,May,NPK,Chattishgarh,"18,000.000","15,917.250"
2013-14,May,SSP,Chattishgarh,"20,000.000","9,049.305"
2013-14,May,TSP,Chattishgarh,0.000,"3,858.250"
2013-14,May,UREA,Chattishgarh,"61,000.000","43,154.900"
2013-14,May,DAP,Dadra & Nagar Haveli,100.000,0.000
2013-14,May,MAP,Dadra & Nagar Haveli,0.000,0.000
2013-14,May,MOP,Dadra & Nagar Haveli,5.000,0.000
2013-14,May,NPK,Dadra & Nagar Haveli,14.000,0.400
2013-14,May,SSP,Dadra & Nagar Haveli,0.000,0.000
2013-14,May,TSP,Dadra & Nagar Haveli,0.000,0.000
2013-14,May,UREA,Dadra & Nagar Haveli,90.000,16.950
2013-14,May,DAP,Daman & Diu,20.000,0.000
2013-14,May,MAP,Daman & Diu,0.000,0.000
2013-14,May,MOP,Daman & Diu,10.000,0.000
2013-14,May,NPK,Daman & Diu,0.000,0.000
2013-14,May,SSP,Daman & Diu,0.000,0.000
2013-14,May,TSP,Daman & Diu,0.000,0.000
2013-14,May,UREA,Daman & Diu,30.000,0.000
2013-14,May,DAP,Delhi,200.000,0.000
2013-14,May,MAP,Delhi,0.000,0.000
2013-14,May,MOP,Delhi,0.000,0.000
2013-14,May,NPK,Delhi,100.000,0.000
2013-14,May,SSP,Delhi,0.000,0.000
2013-14,May,TSP,Delhi,0.000,0.000
2013-14,May,UREA,Delhi,400.000,0.000
2013-14,May,DAP,Goa,100.000,0.000
2013-14,May,MAP,Goa,0.000,0.000
2013-14,May,MOP,Goa,20.000,0.000
2013-14,May,NPK,Goa,500.000,0.000
2013-14,May,SSP,Goa,0.000,0.000
2013-14,May,TSP,Goa,0.000,0.000
2013-14,May,UREA,Goa,300.000,0.000
2013-14,May,DAP,Gujarat,"75,000.000","20,329.235"
2013-14,May,MAP,Gujarat,0.000,0.000
2013-14,May,MOP,Gujarat,"11,000.000","3,284.100"
2013-14,May,NPK,Gujarat,"56,000.000","28,508.250"
2013-14,May,SSP,Gujarat,"25,000.000","3,793.650"
2013-14,May,TSP,Gujarat,0.000,"6,313.850"
2013-14,May,UREA,Gujarat,"1,50,000.000","16,074.710"
2013-14,May,DAP,Harayana,"30,000.000","38,384.750"
2013-14,May,MAP,Harayana,0.000,0.000
2013-14,May,MOP,Harayana,"5,000.000",0.000
2013-14,May,NPK,Harayana,"5,000.000","1,377.200"
2013-14,May,SSP,Harayana,"10,000.000","2,998.100"
2013-14,May,TSP,Harayana,0.000,0.000
2013-14,May,UREA,Harayana,"1,20,000.000","83,293.100"
2013-14,May,DAP,Himachal Pradesh,0.000,0.000
2013-14,May,MAP,Himachal Pradesh,0.000,0.000
2013-14,May,MOP,Himachal Pradesh,50.000,0.000
2013-14,May,NPK,Himachal Pradesh,"2,500.000",8.000
2013-14,May,SSP,Himachal Pradesh,30.000,0.000
2013-14,May,TSP,Himachal Pradesh,0.000,0.000
2013-14,May,UREA,Himachal Pradesh,"5,000.000",565.000
2013-14,May,DAP,Jammu & Kashmir,"8,000.000","5,083.750"
2013-14,May,MAP,Jammu & Kashmir,0.000,0.000
2013-14,May,MOP,Jammu & Kashmir,"1,200.000","1,018.800"
2013-14,May,NPK,Jammu & Kashmir,0.000,0.000
2013-14,May,SSP,Jammu & Kashmir,0.000,0.000
2013-14,May,TSP,Jammu & Kashmir,0.000,0.000
2013-14,May,UREA,Jammu & Kashmir,"12,000.000","7,295.200"
2013-14,May,DAP,Jharkhand,"7,500.000",104.950
2013-14,May,MAP,Jharkhand,0.000,0.000
2013-14,May,MOP,Jharkhand,"2,500.000",0.000
2013-14,May,NPK,Jharkhand,"10,000.000",3.700
2013-14,May,SSP,Jharkhand,"5,000.000",35.450
2013-14,May,TSP,Jharkhand,0.000,0.000
2013-14,May,UREA,Jharkhand,"30,000.000","3,156.800"
2013-14,May,DAP,Karnataka,"85,000.000","7,359.650"
2013-14,May,MAP,Karnataka,0.000,0.000
2013-14,May,MOP,Karnataka,"40,000.000","13,254.250"
2013-14,May,NPK,Karnataka,"1,02,000.000","41,251.447"
2013-14,May,SSP,Karnataka,"5,600.000","2,326.050"
2013-14,May,TSP,Karnataka,0.000,"11,905.400"
2013-14,May,UREA,Karnataka,"80,000.000","59,712.068"
2013-14,May,DAP,Kerala,"2,000.000","4,500.750"
2013-14,May,MAP,Kerala,0.000,0.000
2013-14,May,MOP,Kerala,"10,000.000","2,557.302"
2013-14,May,NPK,Kerala,"14,000.000","13,412.958"
2013-14,May,SSP,Kerala,100.000,38.000
2013-14,May,TSP,Kerala,0.000,"3,156.750"
2013-14,May,UREA,Kerala,"12,000.000","1,960.400"
2013-14,May,DAP,Lakshadweep,0.000,0.000
2013-14,May,MAP,Lakshadweep,0.000,0.000
2013-14,May,MOP,Lakshadweep,0.000,0.000
2013-14,May,NPK,Lakshadweep,0.000,0.000
2013-14,May,SSP,Lakshadweep,0.000,0.000
2013-14,May,TSP,Lakshadweep,0.000,0.000
2013-14,May,UREA,Lakshadweep,0.000,0.000
2013-14,May,DAP,Madhya Pradesh,"59,400.000","69,404.400"
2013-14,May,MAP,Madhya Pradesh,0.000,0.000
2013-14,May,MOP,Madhya Pradesh,"14,400.000","7,340.050"
2013-14,May,NPK,Madhya Pradesh,"59,400.000","33,288.450"
2013-14,May,SSP,Madhya Pradesh,"34,840.000","1,43,991.661"
2013-14,May,TSP,Madhya Pradesh,0.000,"8,443.850"
2013-14,May,UREA,Madhya Pradesh,"1,05,000.000","68,221.150"
2013-14,May,DAP,Maharastra,"1,54,300.000","44,869.965"
2013-14,May,MAP,Maharastra,0.000,0.000
2013-14,May,MOP,Maharastra,"48,800.000","6,146.950"
2013-14,May,NPK,Maharastra,"1,54,400.000","70,046.760"
2013-14,May,SSP,Maharastra,"81,300.000","25,770.861"
2013-14,May,TSP,Maharastra,0.000,0.000
2013-14,May,UREA,Maharastra,"2,52,300.000","1,21,388.425"
2013-14,May,DAP,Manipur,450.000,0.000
2013-14,May,MAP,Manipur,0.000,0.000
2013-14,May,MOP,Manipur,300.000,0.000
2013-14,May,NPK,Manipur,0.000,0.000
2013-14,May,SSP,Manipur,100.000,0.000
2013-14,May,TSP,Manipur,0.000,0.000
2013-14,May,UREA,Manipur,"5,400.000",0.000
2013-14,May,DAP,Megalaya,250.000,0.000
2013-14,May,MAP,Megalaya,0.000,0.000
2013-14,May,MOP,Megalaya,30.000,0.000
2013-14,May,NPK,Megalaya,0.000,0.000
2013-14,May,SSP,Megalaya,500.000,0.000
2013-14,May,TSP,Megalaya,0.000,0.000
2013-14,May,UREA,Megalaya,350.000,0.000
2013-14,May,DAP,Mizoram,700.000,0.000
2013-14,May,MAP,Mizoram,0.000,0.000
2013-14,May,MOP,Mizoram,550.000,0.000
2013-14,May,NPK,Mizoram,0.000,0.000
2013-14,May,SSP,Mizoram,720.000,0.000
2013-14,May,TSP,Mizoram,0.000,0.000
2013-14,May,UREA,Mizoram,"1,350.000",0.000
2013-14,May,DAP,Nagaland,100.000,0.000
2013-14,May,MAP,Nagaland,0.000,0.000
2013-14,May,MOP,Nagaland,30.000,0.000
2013-14,May,NPK,Nagaland,0.000,0.000
2013-14,May,SSP,Nagaland,40.000,0.000
2013-14,May,TSP,Nagaland,0.000,0.000
2013-14,May,UREA,Nagaland,150.000,0.000
2013-14,May,DAP,Odisha,"12,000.000","6,232.000"
2013-14,May,MAP,Odisha,0.000,0.000
2013-14,May,MOP,Odisha,"8,000.000",856.150
2013-14,May,NPK,Odisha,"30,500.000","7,563.650"
2013-14,May,SSP,Odisha,"2,500.000",276.250
2013-14,May,TSP,Odisha,0.000,0.000
2013-14,May,UREA,Odisha,"25,000.000","30,080.650"
2013-14,May,DAP,Pondicherry,250.000,0.000
2013-14,May,MAP,Pondicherry,0.000,0.000
2013-14,May,MOP,Pondicherry,350.000,25.000
2013-14,May,NPK,Pondicherry,930.000,87.000
2013-14,May,SSP,Pondicherry,70.000,0.000
2013-14,May,TSP,Pondicherry,0.000,0.000
2013-14,May,UREA,Pondicherry,"1,900.000",200.000
2013-14,May,DAP,Punjab,"1,00,000.000","37,185.450"
2013-14,May,MAP,Punjab,0.000,0.000
2013-14,May,MOP,Punjab,"5,000.000",0.000
2013-14,May,NPK,Punjab,"8,000.000","1,584.900"
2013-14,May,SSP,Punjab,"5,000.000","3,412.050"
2013-14,May,TSP,Punjab,0.000,"3,355.300"
2013-14,May,UREA,Punjab,"4,30,000.000","66,395.250"
2013-14,May,DAP,Rajasthan,"36,000.000","35,690.400"
2013-14,May,MAP,Rajasthan,0.000,0.000
2013-14,May,MOP,Rajasthan,"2,560.000",0.000
2013-14,May,NPK,Rajasthan,"13,300.000",693.500
2013-14,May,SSP,Rajasthan,"35,000.000","13,255.700"
2013-14,May,TSP,Rajasthan,0.000,"3,526.250"
2013-14,May,UREA,Rajasthan,"75,720.000","43,431.800"
2013-14,May,DAP,Sikkim,0.000,0.000
2013-14,May,MAP,Sikkim,0.000,0.000
2013-14,May,MOP,Sikkim,0.000,0.000
2013-14,May,NPK,Sikkim,0.000,0.000
2013-14,May,SSP,Sikkim,0.000,0.000
2013-14,May,TSP,Sikkim,0.000,0.000
2013-14,May,UREA,Sikkim,0.000,0.000
2013-14,May,DAP,Tamil Nadu,"25,000.000","13,558.800"
2013-14,May,MAP,Tamil Nadu,0.000,0.000
2013-14,May,MOP,Tamil Nadu,"28,000.000","4,267.349"
2013-14,May,NPK,Tamil Nadu,"40,180.000","21,738.820"
2013-14,May,SSP,Tamil Nadu,"6,000.000","4,697.050"
2013-14,May,TSP,Tamil Nadu,0.000,0.000
2013-14,May,UREA,Tamil Nadu,"60,000.000","7,719.650"
2013-14,May,DAP,Tripura,450.000,0.000
2013-14,May,MAP,Tripura,0.000,0.000
2013-14,May,MOP,Tripura,"2,500.000",0.000
2013-14,May,NPK,Tripura,0.000,0.000
2013-14,May,SSP,Tripura,"2,600.000",23.250
2013-14,May,TSP,Tripura,0.000,0.000
2013-14,May,UREA,Tripura,"5,200.000","2,154.500"
2013-14,May,DAP,Uttar Pradesh,"80,000.000","96,580.080"
2013-14,May,MAP,Uttar Pradesh,0.000,0.000
2013-14,May,MOP,Uttar Pradesh,"10,000.000","15,854.850"
2013-14,May,NPK,Uttar Pradesh,"65,000.000","22,909.600"
2013-14,May,SSP,Uttar Pradesh,"45,000.000","5,428.804"
2013-14,May,TSP,Uttar Pradesh,0.000,"16,125.250"
2013-14,May,UREA,Uttar Pradesh,"4,00,000.000","2,09,096.550"
2013-14,May,DAP,Uttaranchal,"4,000.000","2,479.700"
2013-14,May,MAP,Uttaranchal,0.000,0.000
2013-14,May,MOP,Uttaranchal,"1,000.000",0.000
2013-14,May,NPK,Uttaranchal,"7,500.000","4,165.150"
2013-14,May,SSP,Uttaranchal,"1,500.000",0.000
2013-14,May,TSP,Uttaranchal,0.000,0.000
2013-14,May,UREA,Uttaranchal,"30,000.000","9,052.350"
2013-14,May,DAP,West Bengal,"26,000.000","3,309.220"
2013-14,May,MAP,West Bengal,0.000,0.000
2013-14,May,MOP,West Bengal,"16,000.000","2,251.650"
2013-14,May,NPK,West Bengal,"58,200.000","29,962.550"
2013-14,May,SSP,West Bengal,"22,000.000","5,907.700"
